company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_risk_flag,net_debt_cr,asset_turnover,free_cash_flow_cr,capex_cr,capex_intensity_pct,capex_intensity_label,fcf_conversion_rate_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,composite_quality_score
ADANIENT,2019-03,1.2531266252259838,4.876297085118502,3.429113580916238,6.0733105119427675,1.1895805905585857,0.7619273515857956,False,1.5218461538461538,,False,9732,0.9492900131653188,5723.0,2487.0,6.159142128334035,Moderate,290.655154900965,7.0,134.14545454545456,6.0,11243,3236.0,5.890782050790433,-5.975222430379501,,-20.313728713037616,-28.168963139116254,,-8.035860787295979,-18.93869169010509,,64.53
ADANIENT,2020-03,2.3961477317236133,5.285348939013432,6.136779370980115,6.204454130627256,2.2186666666666666,0.7328140673865581,False,2.013994910941476,,False,10467,0.9259306666666667,1372.0,1082.0,2.4929152362739906,Asset Light,59.80819529206626,10.0,154.06363636363636,10.0,12419,2454.0,5.911910945095755,-7.606982238213844,,3.9833653228128707,-14.663139176416905,,3.5744168651286268,-11.09104638678,,66.06
ADANIENT,2021-03,2.645623087234742,6.338366593317652,6.0959263360335685,5.897681662972504,2.026464149408141,0.9456844804475786,False,2.178649237472767,,False,10724,0.7659685762442606,-4568.0,8611.0,21.77959885676708,Capital Intensive,-182.28252194732642,8.0,155.9909090909091,12.0,16227,4043.0,3.2459461046949967,3.058667787307945,,20.757768726443793,0.9035246758499982,,4.551591714942038,-2.3281316138826114,,40.06
ADANIENT,2022-03,1.135119562085854,5.3500432152117545,3.5404591813811384,3.861511720768544,0.7756974386234324,1.8692546165251382,False,1.870942201108472,,False,37312,0.6833618805740949,-15656.0,17041.0,24.54768078363584,Capital Intensive,-421.5401184706516,7.0,202.33636363636364,14.0,41604,1385.0,19.796192956691726,13.699840248771,,15.911155042442072,-3.155068356762114,,0.0,-4.902060720441037,,34.24
ADANIENT,2023-03,1.899012074643249,6.913909361768857,7.328068742246831,7.39933450046956,1.7143504296493437,1.6096335965628876,False,2.431846812799194,,False,46890,0.9027590990812441,2167.0,15459.0,12.120903246040458,Capital Intensive,24.574733499659786,22.0,289.92105263157896,6.0,53200,17626.0,43.2327140592222,28.84048322057997,10.646135227530706,32.55016311333752,32.45780037178554,7.115590194910215,30.059144685138705,25.73753098024454,3.904209397242564,63.64
ADANIENT,2024-03,3.458790097592848,11.799296833677312,8.534650424813185,7.984787232004292,2.076768834144944,1.671358378544375,False,2.7492864983534577,,False,56609,0.6004321671876751,-8455.0,18767.0,19.463602327293845,Capital Intensive,-74.31660367407929,28.0,342.7719298245614,5.0,65310,10312.0,34.60338228109774,19.015414753081238,5.78467705445147,47.182006037517255,45.81058899665285,2.3412223540726584,51.82944859378311,31.95079107728942,3.4219694129380196,39.24
ADANIGREEN,2017-03,-9.362549800796813,80.2788844621514,-3.906899418121363,1.2612612612612613,-0.762987012987013,3.6134663341645887,False,1.4461077844311376,,True,4321,0.08149350649350649,-1483.0,1511.0,300.996015936255,Capital Intensive,-367.99007444168734,0.0,9.442700156985872,0.0,4347,28.0,,,,,,,,,,22.45
ADANIGREEN,2018-03,-9.324324324324325,56.95945945945946,-10.290827740492169,2.677376171352075,-0.8784773060029283,7.355704697986577,True,1.6032608695652173,,False,9777,0.09421350818002419,-3779.0,4428.0,299.18918918918916,Capital Intensive,-448.2799525504152,-1.0,8.574168797953964,0.0,9864,649.0,,,,,,,,,,14.3
ADANIGREEN,2019-03,-23.080660835762874,74.14965986394559,-24.573202276254527,3.5487571701720846,-3.240551234820576,5.764097258147957,True,1.4264049955396967,,True,11065,0.14040114613180515,-1041.0,2666.0,129.54324586977648,Capital Intensive,-68.2175622542595,-3.0,12.35933503836317,0.0,11142,1625.0,,,,,,,,,,9.81
ADANIGREEN,2020-03,-2.6677128285602194,56.88505296194586,-2.8850233347475602,6.131336004180456,-0.36908380373425964,6.307170131523122,True,1.3457286432160804,,True,14390,0.13835214937038645,-1778.0,3743.0,146.8418987838368,Capital Intensive,-122.62068965517241,0.0,15.070332480818413,0.0,14866,1965.0,71.87869176489616,,,,,,,,,19.45
ADANIGREEN,2021-03,5.8258642765685025,71.73495518565942,8.272727272727273,6.645461774395092,0.6343231562804963,11.004090909090909,True,1.3476702508960574,,True,23707,0.10888052418792694,-7536.0,9137.0,292.4775928297055,Capital Intensive,-336.27844712182065,1.0,14.066496163682864,0.0,24209,1601.0,28.277288090725804,,,,,,,,,25.24
ADANIGREEN,2022-03,9.526592635885448,68.42002727449834,18.706962509563887,4.802871262128918,0.8294602571496421,20.211170619739864,True,1.5357279327474207,,False,52258,0.08706788343454218,-15603.0,18730.0,364.89382427430354,Capital Intensive,-444.2767653758542,3.0,16.713554987212277,0.0,52832,3127.0,35.615281969114456,59.19649782184464,,,,,,,,29.69
ADANIGREEN,2023-03,12.512860082304528,63.91460905349794,13.321467688937568,5.964860955352934,1.4542139323558863,7.423740416210296,True,1.936447956028856,,False,53074,0.11621754920862665,3408.0,3857.0,49.60133744855967,Capital Intensive,68.57142857142857,6.0,46.11111111111111,0.0,54223,7265.0,45.03143324246328,39.347412006991476,,,,,,,,52.48
ADANIGREEN,2024-03,13.665943600867678,79.3709327548807,12.812690665039659,7.249772398650458,1.430420271098699,6.595281675818589,True,1.713943268078306,,False,63343,0.10467043571055559,-13347.0,21060.0,228.4164859002169,Capital Intensive,-182.3858977862804,7.0,62.08333333333333,0.0,64858,7713.0,43.44099813858789,34.976172926382844,,90.58982840512462,,,91.29311827723889,,,27.76
ADANIPORTS,2013-03,45.820519988817445,66.59211629857423,25.633406318423525,10.880426335072721,7.791775612075114,1.817328745699093,False,5.029520295202952,,False,11398,0.17004991680532447,-3757.0,5136.0,143.58400894604418,Capital Intensive,-157.7246011754828,8.0,31.890274314214462,12.0,11620,1379.0,,,,,,,,,,48.41
ADANIPORTS,2014-03,36.04554865424431,60.43478260869565,19.86309184255562,10.439661515820456,7.055152571220165,1.4807758128921849,False,3.6888433981576254,,False,12916,0.19572881630668235,-1378.0,2510.0,51.96687370600414,Capital Intensive,-47.20794792737239,8.0,42.34299516908212,12.0,12979,1132.0,,,,,,,,,,46.69
ADANIPORTS,2015-03,37.77633289986996,63.42652795838751,21.58848118903855,10.476157107319295,7.243937410385887,1.651277287505806,False,3.90468085106383,,False,17516,0.19175861853999127,572.0,2485.0,40.39336801040312,Capital Intensive,14.659149154279858,11.0,52.00483091787439,10.0,17776,3057.0,,,,,,,,,,71.89
ADANIPORTS,2016-03,40.17442678295119,64.38317625545083,21.147723065531284,9.802772895918766,7.44040640875342,1.6543502406516104,False,4.72153024911032,,False,21797,0.18520255308063047,-1772.0,4153.0,58.418905612603744,Capital Intensive,-38.71531570897968,14.0,65.2415458937198,8.0,22342,2381.0,25.72737783680763,,,20.335310574077937,,,20.507113208761506,,,46.37
ADANIPORTS,2017-03,46.23770588932338,64.20191965872733,22.264064817984707,10.714645193759436,8.997209988701607,1.2674883030925481,False,5.784050179211469,,False,21053,0.19458599460444095,1434.0,2629.0,31.152980210925463,Capital Intensive,26.46733111849391,19.0,84.66666666666667,7.0,22214,4063.0,20.44292261784719,,,30.86680450669683,,,33.420082436097246,,,73.86
ADANIPORTS,2018-03,32.588536606906295,63.20763048662016,17.652968473424867,13.793820627180923,7.812334596574429,1.0701813136870306,False,5.067131095630145,,False,21291,0.23972646243092752,1762.0,3846.0,33.966263357767374,Capital Intensive,24.6192538773229,18.0,100.98067632850241,11.0,22370,5608.0,22.550492291302437,25.918201916791972,,16.66217818116089,17.622249929148204,,17.840146380897437,17.607902252467355,,73.63
